Organization	KG id	KG name	KG SPARQL endpoint	RDF dump link	Ontology	Triples	F1-M Unique and persistent ID	F1-D URIs dereferenceability	F2a-M - Metadata availability via standard primary sources	F2b-M Metadata availability for all the attributes covered in the FAIR score computation	F3-M Data referrable via a DOI	F4-M Metadata registered in a searchable engine	F score	A1-D Working access point(s)	A1-M Metadata availability via working primary sources	A1.2 Authentication & HTTPS support	A2-M Registered in search engines	A score	I1-D Standard & open representation format	I1-M Metadata are described with VoID/DCAT predicates	I2 Use of FAIR vocabularies	I3-D Degree of connection	I score	R1.1 Machine- or human-readable license retrievable via any primary source	R1.2 Publisher information, such as authors, contributors, publishers, and sources	R1.3-D Data organized in a standardized way	R1.3-M Metadata are described with VoID/DCAT predicates	R score	FAIR score
Archive	ceo	Linked Data Cultural Heritage Agency of the Netherlands	https://api.linkeddata.cultureelerfgoed.nl/datasets/rce/cho/services/cho/sparql	[]	False	65048765	1	0.0048	1	0.44	0	1	0.57	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.32
Archive	Chinese_Red_Classic_Song_Linked_Data_Dataset	Chinese Red Song Linked Data Dataset	http://47.97.223.173:3030	['https://raw.githubusercontent.com/baixue1/linked-data/master/data/figure.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/imagery.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/historyevent.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/performer.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/composer.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/song.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/Lyricist.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/original_performer.ttl']	False	5828	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	0	0.25	1	1	1	0	0.75	2.34
Archive	chronicling-america	Chronicling America		[]	False	20000000	1	0.0	1	0.44	0	1	0.57	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.32
None	cht	Cultural Heritage Thesaurus	https://digitaalerfgoed.poolparty.biz/PoolParty/sparql/term/id/cht	['https://data.cultureelerfgoed.nl/term/id/cht/export/term/id/cht.ttl', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.rj', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.mtxml', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_export_cultuurhistorischethesaurus.trig', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_export_cultuurhistorischethesaurus.rdf', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_scheme_cultuurhistorischethesaurus.trig', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.jsonld', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.trig', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.rdf', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.ttl']	False	645403	1	0.0	1	0.67	0	1	0.61	1.0	1	1.0	1	1.0	1	1	1.0	1	1.0	1	1	1	1	1.0	3.61
None	CIDOC-CRM	CIDOC-CRM		[]	True	0	1	0.0	0	0.22	1	1	0.54	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	0	1	1	0	0.5	1.54
Archive	cinematheque-quebecoise-linked-open-data	Cinémathèque québécoise Linked Open Data	https://data.cinematheque.qc.ca/sparql	[]	False	6257814	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.34
Archive	classical_temples	Temples of the Classical World		[]	False	0	1	0.0	1	0.44	0	1	0.57	1.0	1	0.0	1	0.75	1	0	0.0	0	0.25	1	1	1	0	0.75	2.32
None	ConfermentSampo	ConfermentSampo	http://ldf.fi/promootiosampo/sparql	[]	True	0	0	1.0	1	0.44	0	0	0.41	1.0	1	1.0	0	0.75	1	1	0.0	1	0.75	1	1	1	1	1.0	2.91
Archive	Copyright_Free_Music	Copyright Free Music		[]	False	312	1	0.0	1	0.44	0	1	0.57	1.0	1	0.0	1	0.75	1	0	0.0	0	0.25	1	1	1	0	0.75	2.32
Library	culturalinkeddata	CulturaLinkedData	https://datos.bne.es/sparql	[]	False	344439	1	0.0	1	0.33	0	1	0.56	1.0	1	1.0	1	1.0	1	0	0.0	0	0.25	0	1	1	0	0.5	2.31
